ime,category
fungibility,exchangeability
"transparent quartz","rock crystal"
sincerity,earnestness
sincerity,seriousness
"pilar cyst","sebaceous cyst"
"thermodynamics of equilibrium",thermostatics
"telescope sight","telescopic sight"
"Oncidium papilio kramerianum","Psychopsis krameriana"
"Stanleya pinnata","desert plume"
"Sedum rosea",rose-root
unstableness,instability
"sodium thiosulfate",hypo
"glade fern","silvery spleenwort"
"third stomach",psalterium
sou'-sou'-east,"south southeast"
"Eranthis hyemalis","winter aconite"
"extra time",overtime
"Citrus aurantifolia",lime
sepulchre,"burial chamber"
"vena supraorbitalis","supraorbital vein"
melaena,melena
cudweed,"cotton rose"
cudweed,"western mugwort"
pogonophoran,"beard worm"
"value orientation",ethic
"shipping articles","articles of agreement"
"poppet valve",poppet
"herb of grace",rue
"Louis the Far","Louis VI"
"Anas querquedula",garganey
"folding money","paper money"
"life belt","safety belt"
"life belt","life buoy"
"soft goods",drygoods
"guard of honor","honor guard"
jailbird,"jail bird"
"real estate","real property"
"lens cover","lens cap"
"aluminium foil","aluminum foil"
classicalism,classicism
solemness,sedateness
"saurischian dinosaur",saurischian
"order code","operation code"
septicaemia,"blood poisoning"
shenanigan,mischief
shenanigan,trickery
"mental block",block
"Totten trust","savings account trust"
"square and rabbet",annulet
smack,slap
smack,relish
smack,"big H"
"fairy cup","blood cup"
corbiestep,"corbel step"
coulter,colter
"cardiac glucoside","cardiac glycoside"
"Pontederia cordata",pickerelweed
"mountain partridge","mountain quail"
"Petasites fragrans","winter heliotrope"
"winter savoury","winter savory"
"Brassica oleracea acephala",kale
"Cucurbita mixta",cushaw
"skiing race","ski race"
"pavor nocturnus","sleep terror disorder"
gabardine,flannel
gabardine,duster
blacktail,"black-tailed deer"
evensong,vespers
mizen,mizzenmast
mizen,mizzen
"married woman",wife
"Boltzmann distribution law","Maxwell-Boltzmann distribution law"
"pineal body","pineal gland"
lineman,electrician
stabiliser,stabilizer
cybernation,computerization
"Centaurea imperialis","sweet sultan"
"Sagittarius serpentarius","secretary bird"
runaway,fugitive
dangling,suspension
merchant-venturer,venturer
violence,ferocity
"mosquito boat","PT boat"
"Martes pennanti",fisher
imprimatur,sanction
"drop press","drop forge"
"police force",police
shittim,"southern buckthorn"
spraying,crop-dusting
spraying,spray
"Sylvia curruca","lesser whitethroat"
"hunting licence","hunting license"
picklepuss,sourpuss
reaffirmation,reassertion
teaser,tease
teaser,puzzle
teaser,tormenter
swordsman,fencer
notch,pass
totterer,staggerer
"vena thoracoepigastrica","thoracoepigastric vein"
"Psychotria capensis",lemonwood
"Liatris pycnostachya","dense blazing star"
identicalness,identity
"Gram's procedure","Gram's method"
teleost,"teleost fish"
rosehip,hip
"mammillary body","mamillary body"
neurolysin,neurotoxin
sinfulness,sin
sterileness,asepsis
"power grid","power system"
looker-on,onlooker
bilateralism,bilaterality
"truth drug","truth serum"
"weymouth pine","American white pine"
"Quassia amara",quassia
"the likes of",like
"Mackinaw boat",mackinaw
"Antirrhinum majus","Mediterranean snapdragon"
disillusion,disenchantment
"right of first publication",copyright
"beacon fire",beacon
ecclesiastic,cleric
jounce,jolt
"piece of furniture",furniture
teaching,education
"programing language","programming language"
"fool's gold",pyrite
palette,pallette
billyoh,billyo
forelady,forewoman
"Cercopithecus aethiops sabaeus","green monkey"
"ice chest",cooler
"inhalation anaesthetic","inhalation anesthetic"
"plosive consonant","stop consonant"
"Geococcyx californianus",roadrunner
kingpin,kingbolt
kingpin,headpin
"octane rating","octane number"
"starting line",start
"limbic brain","limbic system"
"Salix lucida","shining willow"
viraemia,viremia
"tin pyrites",stannite
"library catalogue","library catalog"
occultation,eclipse
discontentedness,discontentment
"yard grass",yardgrass
"Balkan nation","Balkan country"
smash,knock
smash,overhead
smash,crash
smash,hit
"vernacular art","outsider art"
termagant,shrew
teasle,teasel
"hotel manager",hotelier
smarm,unction
"kiddy porn","child pornography"
"Platycerium andinum","South American staghorn"
talcum,talc
"plexus coccygeus","coccygeal plexus"
caravanserai,caravansary
festivity,celebration
exbibyte,exabyte
trinket,bangle
"accaroid resin","acaroid resin"
"Cnidoscolus urens","spurge nettle"
"hookworm disease",hookworm
"Ob River",Ob
"dental consonant","alveolar consonant"
sickbag,"sick bag"
snuggling,caressing
staunchness,steadfastness
"Chrysanthemum frutescens",marguerite
"law of similarity",similarity
brewage,brew
"marriage settlement","marriage contract"
bedevilment,badgering
"turn indicator",blinker
"porcupine fish",porcupinefish
necrophagy,necrophagia
"Trichoglossus moluccanus","rainbow lorikeet"
"proportional counter","proportional counter tube"
wizardry,genius
"progressive tense",progressive
sarcodine,sarcodinian
misbeliever,heretic
"Physalis pruinosa","strawberry tomato"
"loving cup",cup
"spark counter","spark chamber"
"water mint",water-mint
"Trogium pulsatorium","common booklouse"
"musculus rhomboideus major","rhomboideus major muscle"
nucleole,nucleolus
"heavy hydrogen",deuterium
aversion,antipathy
"earth god",earth-god
"Actinomeris alternifolia",wingstem
"aerosol bomb","thermobaric bomb"
"aerosol bomb",aerosol
"nodding wild onion","nodding onion"
"engineering school","polytechnic institute"
sportfishing,fishing
slacking,shirking
"tusk shell","tooth shell"
"holiday resort",resort
shitter,defecator
"Sapindus drumondii","wild China tree"
processor,"central processing unit"
apostate,deserter
rapidity,celerity
"encephalitis lethargica","sleeping sickness"
toffy,brittle
indigene,native
"beurre noisette","brown butter"
"procrustean rule","procrustean standard"
ebullition,effusion
knitting,knit
gynaeolatry,gyneolatry
contact,liaison
doorhandle,doorknob
"musical organisation","musical organization"
"bee house",apiary
haven,seaport
monochromasy,monochromacy
"banian tree",banyan
proprietary,proprietorship
permanency,permanence
"pie shell","pie crust"
"galvanic pile","voltaic pile"
"Boswellia serrata",salai
sudor,perspiration
uranalysis,urinalysis
"death cup","death cap"
"lowbush cranberry",lingonberry
indent,indentation
"ten-gallon hat","cowboy hat"
"dragon lizard","Komodo dragon"
"arteria testicularis","testicular artery"
"Fast of Ab","Tishah b'Av"
goblet,chalice
"sorbent material",sorbent
"prickly-seeded spinach",spinach
shoplifter,booster
ottoman,footstool
"Fast of Av","Tishah b'Av"
blazonry,"coat of arms"
"gun chamber","firing chamber"
packsack,backpack
"child's play",cinch
"child's play",play
"julienne vegetable",julienne
"freight rate",freight
"Aethusa cynapium","fool's parsley"
contributor,subscriber
"sea poppy","horn poppy"
"Haldea striatula","eastern ground snake"
"red ink",loss
sticker,spine
sticker,"gummed label"
sticker,poser
sticker,dagger
likeliness,likelihood
"Nothofagus solanderi","black beech"
walkaway,runaway
cheque,check
"bulletin board","bulletin board system"
"Devonshire cream","clotted cream"
comparing,comparison
secondary,"secondary coil"
token,keepsake
"real-time operation","real-time processing"
stretchiness,stretch
"Chamaecyparis thyoides","southern white cedar"
"Quercus alba","American white oak"
"Crotalaria sagitallis","American rattlebox"
dickens,devil
playfulness,gaiety
playfulness,fun
"mutual affection","mutual understanding"
greenmarket,"farmer's market"
passivism,pacifism
haematocyturia,hematocyturia
"Plumeria alba","West Indian jasmine"
"combat fatigue","battle fatigue"
feudatory,vassal
wireless,radio
wireless,"radio receiver"
"Scomberesox saurus",saury
"littoral zone",littoral
"Peronospora hyoscyami","tobacco mildew"
"infantile fixation","arrested development"
"Fistulina hepatica","beefsteak fungus"
"Ctenocephalides canis","dog flea"
"center line",centerline
"African gray","African grey"
"Pelargonium limoneum","lemon geranium"
venture,speculation
tourney,tournament
"coat stand","clothes tree"
"sociopathic personality","antisocial personality disorder"
"human gamma globulin","gamma globulin"
foetoscopy,fetoscopy
trinity,trio
"banking system","banking industry"
fistful,handful
"Sphaeralcea coccinea","prairie mallow"
stalking,stalk
invalidation,annulment
"epic poetry","heroic poetry"
"means grass","Johnson grass"
"carpenter's plane",plane
barbeque,barbecue
"Peter's pence","hearth money"
pothouse,"public house"
oestriol,estriol
"wedding dress","bridal gown"
dioptre,diopter
vitalness,indispensability
"Vigna sesquipedalis","asparagus bean"
concentration,assiduity
frost-weed,frostweed
frost-weed,"Virginia crownbeard"
antechamber,anteroom
"sensory hair",whisker
"white pox",alastrim
"leper lily","snake's head fritillary"
saltpeter,"potassium nitrate"
"cherry birch","sweet birch"
penury,indigence
serialisation,serialization
self-possession,self-control
"Qin dynasty",Qin
stunner,smasher
"Culcita dubia","false bracken"
pommel,knob
"Typha angustifolia","lesser bullrush"
prison-breaking,breakout
"Rhus diversiloba","western poison oak"
fluegelhorn,flugelhorn
aspiration,ambition
aspiration,inhalation
"Polygonum orientale",prince's-feather
informatics,"information science"
"Gram's stain","Gram's method"
"medial geniculate","medial geniculate body"
"talk of the town",talk
tickling,tickle
"Armeria maritima","cliff rose"
"big top","circus tent"
patrioteer,chauvinist
"trailer park","trailer camp"
foetoscope,fetoscope
"Fumaria sempervirens","Roman wormwood"
"major planet",planet
stickup,"armed robbery"
"Rattus rattus","black rat"
"scum bag",rotter
helmetflower,skullcap
helmetflower,monkshood
handbill,circular
benedict,benedick
mixer,sociable
"gravity fault","normal fault"
stemma,lineage
stemma,"simple eye"
handcraft,handicraft
"Cestrum diurnum","day jessamine"
elevation,acme
elevation,"natural elevation"
elevation,aggrandizement
brittle-star,"brittle star"
polyvalency,polyvalence
accession,entree
"Salsola kali",saltwort
"positive muon",antimuon
honeysucker,"honey eater"
"slovenly person",slob
sorrel,oxalis
sorrel,dock
sorrel,roselle
"Daubentonia madagascariensis",aye-aye
fatism,fattism
flatboat,barge
uproar,tumult
uproar,hubbub
"Nothofagus cuninghamii","myrtle beech"
roadman,"traveling salesman"
adiposeness,adiposity
recognisance,recognizance
"life assurance","life insurance"
upending,inversion
splitworm,"potato moth"
abasement,humiliation
"eczema marginatum","tinea cruris"
"Betula pendula","silver birch"
"fishing net",fishnet
"borsht circuit","borscht circuit"
tillage,"cultivated land"
maligner,defamer
"common rush",bulrush
sauteing,frying
obscurity,obscureness
"beach goldenrod","seaside goldenrod"
"grape vine",grape
"Tilletia caries",bunt
prize,loot
prize,trophy
"change of life",menopause
aventail,camail
"Tragelaphus strepsiceros","greater kudu"
"trade balance","balance of trade"
"Tiarella unifoliata","false miterwort"
puniness,pettiness
"os triquetrum",triquetral
setterwort,"stinking hellebore"
"deductive reasoning",deduction
"early wake-robin","dwarf-white trillium"
endaemonism,eudemonism
"daily round",round
hypostatisation,hypostatization
shimmy,chemise
"wedding licence","marriage license"
achievement,accomplishment
teazel,teasel
"Belgian shepherd","Belgian sheepdog"
"Geum triflorum","prairie smoke"
"cape hyacinth","summer hyacinth"
"red hot",hotdog
"wild ox",ox
"breathing out",exhalation
"Zantedeschia aethiopica","calla lily"
plunder,loot
spaceman,astronaut
"dwarf Russian almond","Russian almond"
oesophagoscope,esophagoscope
iceberg,"crisphead lettuce"
"Peromyscus leucopus","white-footed mouse"
captive,prisoner
"anterior naris",nostril
"hat shop",millinery
"alkyl group",alkyl
"Ecballium elaterium","squirting cucumber"
"Senecio triangularis","arrowleaf groundsel"
"Cacatua galerita","sulphur-crested cockatoo"
clavier,"piano keyboard"
kweek,"Bermuda grass"
"haemorrhagic stroke","hemorrhagic stroke"
coppice,brush
"washing day",washday
"scissors hold",scissors
"swinging door","swing door"
jigger,"shot glass"
jigger,jiggermast
jigger,"harvest mite"
birretta,biretta
"common scurvy grass","scurvy grass"
"temporary removal",suspension
"suburban area",suburb
cleverness,inventiveness
cleverness,brightness
cleverness,ingenuity
"Farley maidenhair fern","Farley maidenhair"
hotdog,frank
"Quercus variabilis","Chinese cork oak"
"Clematis verticillaris","purple clematis"
repugnance,incompatibility
"cardiopulmonary arrest",asystole
"allspice tree",allspice
goaltender,goalkeeper
"mandarin orange tree",mandarin
symposiarch,toastmaster
"yellow metal","alpha-beta brass"
"sabbatical leave",sabbatical
privy,toilet
privy,outhouse
sorrow,grief
sorrow,sadness
"flying marmot",taguan
"professional tennis player","tennis pro"
hoarfrost,frost
synergism,synergy
pretence,pretension
pretence,guise
pretence,pretense
import,meaning
import,significance
import,consequence
"Japanese leaf","Chinese evergreen"
"bell toad","tailed frog"
"Achras zapota",sapodilla
prime,flower
"Malopterurus electricus","electric catfish"
"Pseudemys scripta",slider
"Macleaya cordata","plume poppy"
"vacuum bottle","vacuum flask"
talent,endowment
coxcomb,cockscomb
coxcomb,comb
fanatism,fanaticism
"certified cheque","certified check"
rotary,"traffic circle"
rotary,"synchronous converter"
chucker-out,bouncer
sparrow,"hedge sparrow"
"verde antique","verd antique"
"Lonicera dioica","yellow honeysuckle"
impost,customs
impost,springer
"Mikania scandens","climbing hempweed"
location,placement
location,localization
apportioning,allotment
"kangaroo jerboa","jerboa kangaroo"
"pictorial matter",picture
"gravy train","easy money"
"Japanese leek","Welsh onion"
locating,placement
locating,localization
"May apple",mayapple
"Astragalus danicus","purple milk vetch"
anovulant,pill
"oswego tea","bee balm"
"scoring system","rating system"
application,lotion
ulceration,ulcer
selvedge,selvage
print,mark
print,"photographic print"
overgrowth,giantism
quickie,"band aid"
"carabid beetle","ground beetle"
"mountain pass",pass
"offensive activity",discourtesy
resistance,"electric resistance"
resistance,immunity
resistance,underground
resistance,resistor
"Coragyps atratus","black vulture"
"Manihot esculenta","bitter cassava"
"Morus nigra","black mulberry"
terminator,exterminator
"screw pine",pandanus
cottar,cotter
"pes cavus",clawfoot
"legal community","legal profession"
price,"monetary value"
prick,asshole
prick,incision
prick,cock
"Wood's alloy","Wood's metal"
"gene mutation","point mutation"
"Eutamius sibiricus",baronduki
"display adaptor","display adapter"
"patterned advance",progression
"wonton soup","won ton"
saluter,greeter
"fire truck","fire engine"
"lateral epicondylitis","tennis elbow"
"workout suit","sweat suit"
"collegiate dictionary","desk dictionary"
hoosgow,hoosegow
"wood sorrel",oxalis
edict,decree
rondeau,rondo
"brown coal",lignite
conference,league
"wax mallow",waxmallow
"Apios tuberosa",groundnut
barbitone,barbital
passive,"passive voice"
"wood warbler","New World warbler"
"limicoline bird",shorebird
"morning time",morning
tractableness,tractability
astrologist,astrologer
"Lacerta viridis","green lizard"
lexicologist,lexicographer
haemoglobin,hemoglobin
teetotaller,teetotaler
"computer database","electronic database"
"melting point","freezing point"
information,data
pretense,pretension
pretense,guise
"bath powder","toilet powder"
"gray alder","grey alder"
frontage,facade
jumping,jump
propionaldehyde,propanal
"phi correlation","phi coefficient"
"West Indian satinwood",satinwood
caption,subtitle
"blow dryer","hand blower"
"glandular carcinoma",adenocarcinoma
jiujitsu,jujutsu
"magnetic flux unit","flux unit"
rascality,prankishness
rascality,mischief
"turning away",avoidance
"bunya bunya tree","bunya bunya"
extolment,praise
passing,pass
passing,passage
neighbourliness,neighborliness
"Spanish gorse","Spanish broom"
"small fry",pip-squeak
"small fry",child
deduction,"tax write-off"
deduction,subtraction
deduction,discount
passion,heat
passion,rage
passion,mania
passion,love
"dawn horse",eohippus
skepticism,incredulity
skepticism,agnosticism
cherry,cerise
succade,"candied fruit"
"law of motion","Newton's law of motion"
perambulation,amble
"Clusia flava","wild fig"
"plexus caroticus","carotid plexus"
"American cheese",cheddar
pinhead,dumbbell
"porterhouse steak",porterhouse
"Hypochaeris radicata",cat's-ear
negativist,defeatist
negativism,negativity
cosignatory,cosigner
"Taraxacum officinale","common dandelion"
"crested swift","tree swift"
reunification,reunion
thunder,boom
thunder,"big H"
innkeeper,host
"tobacconist shop","tobacco shop"
negativity,electronegativity
caruncula,caruncle
"American licorice","wild licorice"
"pissaba palm","piassava palm"
"sea gull",gull
"continuous receiver watch","listening watch"
"Vulpes fulva","red fox"
shikse,shiksa
"antispasmodic agent",antispasmodic
"water deer","water chevrotain"
expounder,expositor
chetah,cheetah
"Christmas star",poinsettia
kingsnake,"king snake"
"big-toothed aspen","Canadian aspen"
hazan,cantor
sheeprun,sheepwalk
teetotalist,teetotaler
"water spirit","water sprite"
teetotalism,teetotaling
"Amanita verna","destroying angel"
fumeroot,fumitory
fumeroot,fumewort
offset,beginning
offset,counterbalance
offset,stolon
offset,outgrowth
offset,set-back
"caudal fin","tail fin"
"shoe repairing",shoemaking
"fescue grass",fescue
"Pimenta officinalis","allspice tree"
"UN agency","United Nations agency"
"trading post","country store"
"Melicocca bijuga","Spanish lime"
welcomer,greeter
"black gum","sour gum"
"black gum","black mallee"
"Aedes aegypti","yellow-fever mosquito"
"flight of steps",flight
taxonomer,taxonomist
hazel,hazelnut
"baby's dummy",comforter
"voiced sound",sonant
"front end",front
"wild bergamot",monarda
"vena umbilicalis","umbilical vein"
"olfactory modality",smell
cartroad,track
nanocephaly,microcephaly
"Crotalus cerastes",sidewinder
"conjuring trick","magic trick"
poetizer,rhymer
defect,blemish
"Edgar Allan Poe",Poe
"fundamental particle","elementary particle"
"vitelline sac","yolk sac"
"Paris quadrifolia","herb Paris"
"pressure-feed lubricating system","lubricating system"
discomfited,defeated
"coat of mail","body armor"
"gag reflex","pharyngeal reflex"
defeat,frustration
"sentence structure",syntax
"booster amplifier",booster
"Abronia umbellata","beach sand verbena"
"Lynx lynx","common lynx"
frangibleness,fragility
"F region","Appleton layer"
paragliding,parasailing
psychokinesis,telekinesis
"accroides gum","acaroid resin"
registration,adjustment
"wicket gate",wicket
"cubature unit","volume unit"
"repayment rate","payment rate"
"snorkel diving",snorkeling
"information superhighway",superhighway
"Charadrius melodus","piping plover"
troche,"cough drop"
"Dracocephalum parviflorum",dragonhead
brushup,review
"intelligence operation",intelligence
"pyralid moth",pyralid
"Yucca whipplei","Our Lord's candle"
drunk,drunkard
homeliness,dowdiness
superload,"live load"
"Rheum australe","Himalayan rhubarb"
missis,missus
diffusion,dissemination
diffusion,dispersion
insolence,crust
muazzin,muezzin
"balas ruby",balas
applesauce,folderol
"Brya ebenus","granadilla tree"
"snaffle bit",snaffle
"Bos primigenius",aurochs
"Pipilo erythrophthalmus",chewink
pilotage,navigation
pilotage,piloting
requisition,sequestration
"Psophocarpus tetragonolobus","winged bean"
buffalofish,"buffalo fish"
vacuolisation,vacuolization
"hair tonic",hairdressing
"poverty grass","beach heather"
"Christmas disease","hemophilia B"
valvelet,valvule
"high jinks",jinks
transmutation,transformation
contrition,attrition
coincidence,concurrence
"Semnopithecus entellus",entellus
bootie,bootee
"Cardamine douglasii","purple cress"
"Jasminum officinale","common jasmine"
"genetic science",genetics
psylla,"jumping plant louse"
bugbear,bogeyman
"liberty chit",pass
bristliness,prickliness
bacchanal,"drunken reveler"
bacchanal,bacchant
bacchanal,orgy
"rock brake","cliff brake"
"rock brake","rock polypody"
"maidenhair fern",maidenhair
"blue cheese",bleu
"trading floor",floor
"copepod crustacean",copepod
cowberry,lingonberry
"inflammatory bowel disease",colitis
hermaphrodism,hermaphroditism
"Iris kochii","German iris"
remote,"remote control"
"Ixodes ricinus",sheep-tick
subjectiveness,subjectivity
"concrete representation",concretism
genius,brilliance
genius,ace
genius,flair
man-eater,cannibal
man-eater,"great white shark"
"black haw","false buckthorn"
bountifulness,amplitude
"Nothofagus obliqua","roble beech"
glochid,glochidium
suite,cortege
dichromatopsia,dichromacy
"declaratory sentence","declarative sentence"
festoonery,festoon
"Chinese cinnamon","cassia bark"
cabalism,kabbalism
"monofocal IOL","monofocal lens implant"
jiggle,joggle
berth,position
berth,mooring
"economic aid",aid
overmuch,overabundance
"Acacia pycnantha","golden wattle"
"malignant melanoma",melanoma
"Phaseolus angularis","adzuki bean"
stench,malodor
"cellular respiration",respiration
"field maple","hedge maple"
"bearing metal","white metal"
jubilation,exultation
jubilation,celebration
provenance,birthplace
"conclusion of law","finding of law"
"flying dragon",dragon
fustian,bombast
freighter,bottom
"G suit","anti-G suit"
enfolding,involution
"ice yacht",iceboat
"Cladrastis lutea","Kentucky yellowwood"
"mountain box","common bearberry"
"alternating electric current","alternating current"
"Columba fasciata","band-tailed pigeon"
procaryote,prokaryote
"electric outlet","wall socket"
"biological process","organic process"
"blue cheese dressing","bleu cheese dressing"
water-color,watercolor
"farmer's cheese","cottage cheese"
"half brother",stepbrother
"arteria ophthalmica","ophthalmic artery"
"first visual area","striate cortex"
gauntry,gantry
"laurel cherry","cherry laurel"
"territorial dominion",district
"Pteretis struthiopteris","ostrich fern"
kindling,ignition
"canvasback duck",canvasback
"Polanisia graveolens",clammyweed
"myrtle spurge","caper spurge"
"translating program",translator
splicing,splice
marketer,seller
"red osier","purple willow"
plunger,speculator
plunger,diver
plunger,piston
"Canada moonseed","common moonseed"
ratiocinator,reasoner
"north-seeking pole","positive pole"
"leave of absence",leave
hemogenesis,hematopoiesis
"military intelligence agency","military intelligence"
comforter,sympathizer
comforter,reliever
comforter,quilt
emersion,egress
emersion,emergence
finger-root,"common foxglove"
"magnetic induction",magnetization
"magnetic induction","magnetic field strength"
"tool kit","carpenter's kit"
"tanner's cassia",avaram
"brightness level",luminosity
"Uncle Tom",Tom
cobalamin,"vitamin B12"
"Indian chickweed",carpetweed
"Hibiscus tiliaceus",mahoe
"macroscopic anatomy","gross anatomy"
terror,panic
advertizing,ad
splattering,spatter
tub-cart,"pony cart"
"wedding license","marriage license"
pavement,paving
pavement,sidewalk
"lipid-lowering medication","lipid-lowering medicine"
sterility,asepsis
plethora,overplus
"post hoc ergo propter hoc","post hoc"
"American hellebore","white hellebore"
gilding,gilt
raphia,raffia
"law of parsimony","Occam's Razor"
father,forefather
father,founder
father,don
coitus,"sexual intercourse"
ochre,ocher
"Mephitis macroura","hooded skunk"
zebibyte,zettabyte
"clouding up",clouding
"black fly",blackfly
"Poa nemoralis","wood meadowgrass"
"St. John's","Saint John's"
"red gum","eucalyptus gum"
"red gum","sweet gum"
"hall porter",doorkeeper
"mental institution","mental hospital"
"cloud nine",bliss
"sea pea","beach pea"
"tinker's damn",damn
cryptanalytics,cryptanalysis
witchgrass,"dog grass"
content,message
content,capacity
content,contentedness
content,subject
crosspatch,grouch
"chemin de fer",baccarat
"dog's-tooth check","houndstooth check"
"statute mile",mile
"sea eryngium","sea holly"
"Cetorhinus maximus","basking shark"
"intersection point",intersection
"genetic fingerprinting","genetic profiling"
coruscation,glitter
"comparative degree",comparative
"animal stuffer",taxidermist
wrapping,swathe
theatergoer,playgoer
"ill fame",notoriety
"liquidity crisis","credit crunch"
"Gyromitra brunnea","Gyromitra fastigiata"
"Habenaria greenei","coastal rein orchid"
carmaker,"car manufacturer"
"transmission system",transmission
"Lyrurus tetrix","European black grouse"
gallberry,inkberry
"accommodating IOL","accommodating lens implant"
crampoon,crampon
"good speller",speller
saltpetre,"potassium nitrate"
hostelry,hostel
"star grass",colicroot
"star grass","Bermuda grass"
"star grass","windmill grass"
"Abronia elliptica",snowball
"genus Leucocytozoan","genus Leucocytozoon"
"Brassica juncea","chinese mustard"
"vena palatina","palatine vein"
"rest stop",pull-off
"printing business","printing concern"
distension,distention
distension,dilatation
flavour,spirit
flavour,flavor
flavour,relish
shmaltz,schmaltz
"soft market","buyer's market"
soubriquet,nickname
shifting,shift
hypoglycaemia,hypoglycemia
"Platycerium bifurcatum","common staghorn fern"
"Pica pica","European magpie"
sumptuosity,lavishness
"Alnus rhombifolia","white alder"
"physical object",object
"Bufo americanus","American toad"
"idol worship",idolatry
polymerisation,polymerization
flatulency,flatulence
endogen,monocot
flatulence,turgidity
joyousness,joy
"Euphorbia fulgens","scarlet plume"
"Zostera marina",eelgrass
"cant dog",peavey
stargazer,lotus-eater
stargazer,astronomer
"cubage unit","volume unit"
dielectrolysis,electrophoresis
parameter,argument
piddle,urine
"hussar monkey",patas
pharmacy,drugstore
intermission,pause
"Kenya fever","Marseilles fever"
"Cistothorus palustris","long-billed marsh wren"
"square toes",square
factoring,factorization
imparting,conveyance
"David Low",Low
spliff,joint
namelessness,anonymity
"external carotid","external carotid artery"
"Elaphurus davidianus","pere david's deer"
"narrowhead morel","black morel"
"sewer system","sewage system"
"Staffordshire bull terrier","Staffordshire bullterrier"
splice,"lap joint"
"pulseless disease","Takayasu's arteritis"
"porcelain clay","china clay"
qualification,reservation
"primary sex character","primary sex characteristic"
"bocci ball","bocce ball"
hairstylist,hairdresser
"Thelypteris hexagonoptera","broad beech fern"
"swamp rose mallow","rose mallow"
"Mustela vison","American mink"
viands,commissariat
appellative,appellation
"flying colours","flying colors"
"preconceived notion",preconception
business,"commercial enterprise"
business,occupation
business,clientele
diver,loon
"sweet chestnut","European chestnut"
"Pullman porter",porter
"durative aspect",durative
"bitter salts","Epsom salts"
"Vibrio comma","comma bacillus"
"whisky neat","whiskey neat"
athar,attar
"vena trachealis","tracheal vein"
unboundedness,infiniteness
"young carnivore",cub
"Parkinsonia aculeata","Jerusalem thorn"
"closed book",mystery
"Lactuca sativa crispa","leaf lettuce"
"sea spurry","sand spurry"
"Stokesia laevis","stokes' aster"
spline,slat
"Monarda didyma","bee balm"
television,"television receiver"
"arteria circumflexa femoris","circumflex artery of the thigh"
"Ulmus hollandica","Dutch elm"
"legal transfer",delivery
deviousness,crookedness
"round of drinks",round
"marriage offer","marriage proposal"
romaine,cos
"basic principle",fundamentals
"Lophophora williamsii",mescal
"safety margin","margin of safety"
"mock azalia","impala lily"
"American grey birch","grey birch"
ticking,tick
"condyloid process","condylar process"
comb-plate,ctene
jubilancy,exultation
"geographic region","geographical area"
"lamb's lettuce","common corn salad"
"Pisum arvense","field pea"
jubilance,exultation
quotation,citation
"rock drill","bore bit"
u-drive,"car rental"
"Vigna unguiculata",cowpea
super,superintendent
rozelle,roselle
"driving axle","live axle"
"Myrica gale","sweet gale"
"Croton bug","German cockroach"
"squareflipper square flipper","bearded seal"
"nose count",census
"buyers' market","buyer's market"
quackgrass,"dog grass"
conceding,concession
handicapper,odds-maker
"Flindersia australis","native beech"
"Greek key",fret
handicapped,disabled
cubicle,cell
cubicle,carrel
cubicle,booth
"Caesalpinia ferrea","brazilian ironwood"
"Geranium pratense","meadow cranesbill"
"rounding error",rounding
"chorioallantoic membrane",chorioallantois
"residential area","residential district"
"serious music","classical music"
saccade,jerk
crateful,crate
preeminence,eminence
mesquit,mesquite
"Epilobium hirsutum","hairy willowherb"
"wild mango tree","wild mango"
"white Spanish broom","white broom"
"left wing",left
"Charles Andre Joseph Marie de Gaulle","de Gaulle"
marginalisation,marginalization
"crew member",crewman
"prayer mat","prayer rug"
"Chrysanthemum coronarium spatiosum","chop-suey greens"
"equal-area map projection","equal-area projection"
acute,"acute accent"
suasion,persuasion
"moon daisy","oxeye daisy"
"emphysematous phlegmon","gas gangrene"
"filmy fern","bristle fern"
sailplane,glider
"large tooth aspen","Canadian aspen"
"DEAE cellulose","diethylaminoethyl cellulose"
"Muscicapa grisola","spotted flycatcher"
alarm,"alarm clock"
"pass catcher",receiver
"bearer bond","coupon bond"
boozer,alcoholic
deaf-muteness,deaf-mutism
kidnaper,kidnapper
"intestinal flu",gastroenteritis
"scarlet cup","Sarcoscypha coccinea"
precaution,caution
"Eburophyton austinae","phantom orchid"
"court of chancery",chancery
putsch,"coup d'etat"
rhabdomancer,"water witch"
"carnal abuse","statutory rape"
"congenital disorder","birth defect"
skulduggery,trickery
"Bradypus tridactylus","three-toed sloth"
"streetcar track",tramline
parallelopipedon,parallelepiped
dodging,evasion
dodging,dodge
dodging,avoidance
"Delichon urbica","house martin"
"Opuntia lindheimeri",nopal
"Nan River",Nan
"Sida spinosa","Indian mallow"
"Fratercula corniculata","horned puffin"
wavefront,"wave front"
myocarditis,"myocardial inflammation"
disreputableness,unrespectability
"ring armour","chain mail"
"cochin china",cochin
roseola,rash
"cubeb vine",cubeb
licentiousness,profligacy
"combustible material",combustible
"alizarin crimson","alizarin carmine"
luxuria,lust
"sedative-hypnotic drug",sedative-hypnotic
"epidemic hysertia","mass hysteria"
"heroic poem","epic poem"
counterpoise,counterweight
"phatic communication","phatic speech"
prosecution,pursuance
"Macaca sylvana","Barbary ape"
"fish bowl","goldfish bowl"
"fish bowl",fishbowl
"red elm","September elm"
"red elm","slippery elm"
"Ipomoea alba",moonflower
